,time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
98,2022-04-10T00:00:00.0000000Z,2022-04-11T00:00:00.0000000Z,2022-04-10T00:00:00.1300000Z,2022-04-10T23:59:59.4700000Z,0.076215,0.076822,0.075879,0.075973,44660.0628,103167
99,2022-04-11T00:00:00.0000000Z,2022-04-12T00:00:00.0000000Z,2022-04-11T00:00:00.4870000Z,2022-04-11T23:59:59.6590000Z,0.075973,0.076081,0.073103,0.075379,122776.65000000001,222274
100,2022-04-12T00:00:00.0000000Z,2022-04-13T00:00:00.0000000Z,2022-04-12T00:00:00.4170000Z,2022-04-12T23:59:52.7320000Z,0.075379,0.076,0.074971,0.075545,91115.3037,152289
101,2022-04-13T00:00:00.0000000Z,2022-04-14T00:00:00.0000000Z,2022-04-13T00:00:02.2580000Z,2022-04-13T23:59:55.3120000Z,0.075546,0.07635,0.074917,0.075789,82561.065,137264
102,2022-04-14T00:00:00.0000000Z,2022-04-15T00:00:00.0000000Z,2022-04-14T00:00:09.4230000Z,2022-04-14T23:59:50.9030000Z,0.075789,0.07594,0.07487,0.075657,70006.6192,101869
103,2022-04-15T00:00:00.0000000Z,2022-04-16T00:00:00.0000000Z,2022-04-15T00:00:06.4290000Z,2022-04-15T23:59:59.8380000Z,0.075658,0.075775,0.074769,0.074984,51947.87700000001,76584
104,2022-04-16T00:00:00.0000000Z,2022-04-17T00:00:00.0000000Z,2022-04-16T00:00:00.1030000Z,2022-04-16T23:59:56.0930000Z,0.074984,0.07589,0.074904,0.075762,37649.69909999999,59436
105,2022-04-17T00:00:00.0000000Z,2022-04-18T00:00:00.0000000Z,2022-04-17T00:00:02.9370000Z,2022-04-17T23:59:59.0930000Z,0.075766,0.076329,0.07523,0.0753,54544.85,92485
106,2022-04-18T00:00:00.0000000Z,2022-04-19T00:00:00.0000000Z,2022-04-18T00:00:01.1530000Z,2022-04-18T23:59:57.6750000Z,0.075301,0.075378,0.07357,0.074891,93460.58930000002,158123
107,2022-04-19T00:00:00.0000000Z,2022-04-20T00:00:00.0000000Z,2022-04-19T00:00:00.0380000Z,2022-04-19T23:59:58.5580000Z,0.074891,0.075316,0.074491,0.074759,67687.08119999999,106954
108,2022-04-20T00:00:00.0000000Z,2022-04-21T00:00:00.0000000Z,2022-04-20T00:00:01.5020000Z,2022-04-20T23:59:59.3100000Z,0.07476,0.075065,0.074136,0.074386,70877.0364,127312
