time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,trend_date,bitcoin,ethereum,xrp,bitcoin_crash,bitcoin_trust
3/16/2022 0:01,3/17/2022 0:01,3/16/2022 0:01,3/16/2022 23:59,0.06664,0.068,0.065,0.067,99591.98,243990,3/16/2022,27,26,46,0,0
3/17/2022 0:01,3/18/2022 0:01,3/17/2022 0:01,3/17/2022 23:59,0.067468,0.069,0.067,0.069,74980.007,161385,3/17/2022,29,30,44,0,37
3/18/2022 0:01,3/19/2022 0:01,3/18/2022 0:01,3/18/2022 23:59,0.068726,0.071,0.068,0.07,95916.649,200264,3/18/2022,27,28,46,6,37
3/19/2022 0:01,3/20/2022 0:01,3/19/2022 0:01,3/19/2022 23:59,0.070377,0.071,0.069,0.07,54860.044,137098,3/19/2022,26,30,48,0,41
3/20/2022 0:01,3/21/2022 0:01,3/20/2022 0:01,3/20/2022 23:59,0.069915,0.07,0.069,0.069,47162.717,129832,3/20/2022,25,30,43,0,42
3/21/2022 0:01,3/22/2022 0:01,3/21/2022 0:01,3/21/2022 23:59,0.069352,0.072,0.069,0.07,67174.031,172728,3/21/2022,24,31,60,0,0
3/22/2022 0:01,3/23/2022 0:01,3/22/2022 0:01,3/22/2022 23:59,0.07049,0.071,0.07,0.07,82632.606,195631,3/22/2022,25,29,64,0,0
3/23/2022 0:01,3/24/2022 0:01,3/23/2022 0:01,3/23/2022 23:59,0.070094,0.071,0.07,0.071,71862.9,170995,3/23/2022,28,38,52,0,54
3/24/2022 0:01,3/25/2022 0:01,3/24/2022 0:01,3/24/2022 23:59,0.0708,0.071,0.07,0.071,82212.014,185945,3/24/2022,26,34,55,0,47
3/25/2022 0:01,3/26/2022 0:01,3/25/2022 0:01,3/25/2022 23:59,0.07072,0.071,0.07,0.07,92361.197,175302,3/25/2022,28,38,44,0,76
3/26/2022 0:01,3/27/2022 0:01,3/26/2022 0:01,3/26/2022 23:59,0.070011,0.071,0.07,0.071,35900.871,87573,3/26/2022,27,32,41,0,49
3/27/2022 0:01,3/28/2022 0:01,3/27/2022 0:01,3/27/2022 23:59,0.070652,0.071,0.07,0.07,59361.475,136931,3/27/2022,23,28,46,0,0
3/28/2022 0:01,3/29/2022 0:01,3/28/2022 0:01,3/28/2022 23:59,0.070377,0.071,0.07,0.071,74278.888,176710,3/28/2022,27,32,61,0,0
3/29/2022 0:01,3/30/2022 0:01,3/29/2022 0:01,3/29/2022 23:59,0.07073,0.073,0.071,0.072,67850.025,187365,3/29/2022,32,38,49,5,54
3/30/2022 0:01,3/31/2022 0:01,3/30/2022 0:01,3/30/2022 23:59,0.071693,0.072,0.071,0.072,53850.729,149578,3/30/2022,29,37,49,7,38
3/31/2022 0:01,4/1/2022 0:01,3/31/2022 0:01,3/31/2022 23:59,0.071934,0.073,0.071,0.072,94946.711,179731,3/31/2022,29,36,48,5,68
4/1/2022 0:01,4/2/2022 0:01,4/1/2022 0:01,4/1/2022 23:59,0.072103,0.075,0.072,0.075,104800.578,212943,4/1/2022,26,30,46,5,60
4/2/2022 0:01,4/3/2022 0:01,4/2/2022 0:01,4/2/2022 23:59,0.074658,0.076,0.074,0.075,82187.629,144499,4/2/2022,26,31,46,6,49
4/3/2022 0:01,4/4/2022 0:01,4/3/2022 0:01,4/3/2022 23:59,0.075176,0.076,0.075,0.076,61026.151,108362,4/3/2022,24,31,42,0,47
4/4/2022 0:01,4/5/2022 0:01,4/4/2022 0:01,4/4/2022 23:59,0.075889,0.076,0.075,0.076,83324.924,152006,4/4/2022,23,30,44,0,0
4/5/2022 0:01,4/6/2022 0:01,4/5/2022 0:01,4/5/2022 23:59,0.075549,0.076,0.075,0.075,67838.894,127309,4/5/2022,24,30,43,4,34
4/6/2022 0:01,4/7/2022 0:01,4/6/2022 0:01,4/6/2022 23:59,0.074879,0.075,0.073,0.073,118161.742,203620,4/6/2022,24,29,45,0,36
4/7/2022 0:01,4/8/2022 0:01,4/7/2022 0:01,4/7/2022 23:59,0.073398,0.075,0.073,0.074,81623.865,146327,4/7/2022,27,32,37,5,0
4/8/2022 0:01,4/9/2022 0:01,4/8/2022 0:01,4/8/2022 23:59,0.074289,0.076,0.074,0.076,96005.402,167165,4/8/2022,27,27,43,0,45
4/9/2022 0:01,4/10/2022 0:01,4/9/2022 0:01,4/9/2022 23:59,0.075546,0.077,0.075,0.076,42106.263,92681,4/9/2022,26,26,41,5,33
4/10/2022 0:01,4/11/2022 0:01,4/10/2022 0:01,4/10/2022 23:59,0.076215,0.077,0.076,0.076,44660.063,103167,4/10/2022,23,24,38,0,48
4/11/2022 0:01,4/12/2022 0:01,4/11/2022 0:01,4/11/2022 23:59,0.075973,0.076,0.073,0.075,122776.65,222274,4/11/2022,24,25,43,0,0
4/12/2022 0:01,4/13/2022 0:01,4/12/2022 0:01,4/12/2022 23:59,0.075379,0.076,0.075,0.076,91115.304,152289,4/12/2022,31,30,43,6,47
4/13/2022 0:01,4/14/2022 0:01,4/13/2022 0:01,4/13/2022 23:59,0.075546,0.076,0.075,0.076,82561.065,137264,4/13/2022,27,30,43,0,0
4/14/2022 0:01,4/15/2022 0:01,4/14/2022 0:01,4/14/2022 23:59,0.075789,0.076,0.075,0.076,70006.619,101869,4/14/2022,26,25,45,0,55
4/15/2022 0:01,4/16/2022 0:01,4/15/2022 0:01,4/15/2022 23:59,0.075658,0.076,0.075,0.075,51947.877,76584,4/15/2022,25,27,57,0,52
4/16/2022 0:01,4/17/2022 0:01,4/16/2022 0:01,4/16/2022 23:59,0.074984,0.076,0.075,0.076,37649.699,59436,4/16/2022,23,24,49,0,50
4/17/2022 0:01,4/18/2022 0:01,4/17/2022 0:01,4/17/2022 23:59,0.075766,0.076,0.075,0.075,54544.85,92485,4/17/2022,21,23,42,0,0
4/18/2022 0:01,4/19/2022 0:01,4/18/2022 0:01,4/18/2022 23:59,0.075301,0.075,0.074,0.075,93460.589,158123,4/18/2022,21,23,46,0,0
4/19/2022 0:01,4/20/2022 0:01,4/19/2022 0:01,4/19/2022 23:59,0.074891,0.075,0.074,0.075,67687.081,106954,4/19/2022,25,28,45,12,0
4/20/2022 0:01,4/21/2022 0:01,4/20/2022 0:01,4/20/2022 23:59,0.07476,0.075,0.074,0.074,70877.036,127312,4/20/2022,22,25,42,0,50
4/21/2022 0:01,4/22/2022 0:01,4/21/2022 0:01,4/21/2022 23:59,0.074385,0.074,0.073,0.074,91855.375,142235,4/21/2022,21,25,38,0,0
4/22/2022 0:01,4/23/2022 0:01,4/22/2022 0:01,4/22/2022 23:59,0.073707,0.075,0.074,0.075,74168.892,136935,4/22/2022,21,23,34,0,39
4/23/2022 0:01,4/24/2022 0:01,4/23/2022 0:01,4/23/2022 23:59,0.074601,0.075,0.074,0.074,37047.495,80583,4/23/2022,23,24,34,0,32
4/24/2022 0:01,4/25/2022 0:01,4/24/2022 0:01,4/24/2022 23:59,0.074355,0.075,0.074,0.074,40312.626,86982,4/24/2022,20,22,34,0,0
4/25/2022 0:01,4/26/2022 0:01,4/25/2022 0:01,4/25/2022 23:59,0.074044,0.075,0.073,0.074,105668.649,187568,4/25/2022,19,20,41,0,40
4/26/2022 0:01,4/27/2022 0:01,4/26/2022 0:01,4/26/2022 23:59,0.074369,0.075,0.073,0.074,86726.676,165608,4/26/2022,24,25,39,0,0
