time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,fng_classification,fng,trend_date,bitcoin,ethereum,xrp,bitcoin_crash,bitcoin_trust
4/23/2022 0:01,4/24/2022 0:01,4/23/2022 0:01,4/23/2022 23:59,0.074601,0.075,0.074,0.074,24,Extreme Fear,4/23/2022,23,24,34,0,32
4/24/2022 0:01,4/25/2022 0:01,4/24/2022 0:01,4/24/2022 23:59,0.074355,0.075,0.074,0.074,24,Extreme Fear,4/24/2022,20,22,34,0,0
4/25/2022 0:01,4/26/2022 0:01,4/25/2022 0:01,4/25/2022 23:59,0.074044,0.075,0.073,0.074,23,Extreme Fear,4/25/2022,19,20,41,0,40
4/26/2022 0:01,4/27/2022 0:01,4/26/2022 0:01,4/26/2022 23:59,0.074369,0.075,0.073,0.074,27,Fear,4/26/2022,24,25,39,0,0
4/27/2022 0:01,4/28/2022 0:01,4/27/2022 0:01,4/27/2022 23:59,0.073717,0.074,0.073,0.074,21,Extreme Fear,4/27/2022,26,27,35,6,0
4/28/2022 0:01,4/29/2022 0:01,4/28/2022 0:01,4/28/2022 23:59,0.073637,0.074,0.073,0.074,24,Extreme Fear,4/28/2022,24,25,34,0,0
4/29/2022 0:01,4/30/2022 0:01,4/29/2022 0:01,4/29/2022 23:59,0.073899,0.074,0.073,0.073,23,Extreme Fear,4/29/2022,24,23,33,5,38
4/30/2022 0:01,5/1/2022 0:01,4/30/2022 0:01,4/30/2022 23:59,0.07299,0.073,0.072,0.072,20,Extreme Fear,4/30/2022,23,21,33,0,33
5/1/2022 0:01,5/2/2022 0:01,5/1/2022 0:01,5/1/2022 23:59,0.072462,0.074,0.072,0.073,22,Extreme Fear,5/1/2022,22,23,34,6,0
5/2/2022 0:01,5/3/2022 0:01,5/2/2022 0:01,5/2/2022 23:59,0.07344,0.074,0.072,0.074,28,Fear,5/2/2022,22,26,31,9,34
5/3/2022 0:01,5/4/2022 0:01,5/3/2022 0:01,5/3/2022 23:59,0.07415,0.074,0.073,0.074,27,Fear,5/3/2022,23,25,32,0,30
5/4/2022 0:01,5/5/2022 0:01,5/4/2022 0:01,5/4/2022 23:59,0.073722,0.074,0.073,0.074,21,Extreme Fear,5/4/2022,21,22,31,0,39
5/5/2022 0:01,5/6/2022 0:01,5/5/2022 0:01,5/5/2022 23:59,0.074094,0.076,0.074,0.075,27,Fear,5/5/2022,22,22,33,5,35
5/6/2022 0:01,5/7/2022 0:01,5/6/2022 0:01,5/6/2022 23:59,0.075174,0.076,0.074,0.075,22,Extreme Fear,5/6/2022,28,26,31,9,70
5/7/2022 0:01,5/8/2022 0:01,5/7/2022 0:01,5/7/2022 23:59,0.074771,0.075,0.074,0.074,23,Extreme Fear,5/7/2022,28,26,28,8,0
5/8/2022 0:01,5/9/2022 0:01,5/8/2022 0:01,5/8/2022 23:59,0.074289,0.075,0.073,0.074,18,Extreme Fear,5/8/2022,23,21,32,6,0
5/9/2022 0:01,5/10/2022 0:01,5/9/2022 0:01,5/9/2022 23:59,0.074017,0.074,0.072,0.074,11,Extreme Fear,5/9/2022,27,26,41,11,0
5/10/2022 0:01,5/11/2022 0:01,5/10/2022 0:01,5/10/2022 23:59,0.074105,0.076,0.074,0.076,10,Extreme Fear,5/10/2022,53,42,43,35,53
5/11/2022 0:01,5/12/2022 0:01,5/11/2022 0:01,5/11/2022 23:59,0.075502,0.077,0.072,0.072,12,Extreme Fear,5/11/2022,53,38,58,24,66
5/12/2022 0:01,5/13/2022 0:01,5/12/2022 0:01,5/12/2022 23:59,0.071657,0.073,0.066,0.068,12,Extreme Fear,5/12/2022,62,44,67,52,57
5/13/2022 0:01,5/14/2022 0:01,5/13/2022 0:01,5/13/2022 23:59,0.067523,0.07,0.067,0.069,10,Extreme Fear,5/13/2022,95,70,57,100,52
5/14/2022 0:01,5/15/2022 0:01,5/14/2022 0:01,5/14/2022 23:59,0.068625,0.07,0.068,0.068,9,Extreme Fear,5/14/2022,70,47,44,73,41
5/15/2022 0:01,5/16/2022 0:01,5/15/2022 0:01,5/15/2022 23:59,0.068351,0.069,0.068,0.068,10,Extreme Fear,5/15/2022,49,37,35,49,48
5/16/2022 0:01,5/17/2022 0:01,5/16/2022 0:01,5/16/2022 23:59,0.068482,0.069,0.067,0.068,14,Extreme Fear,5/16/2022,40,29,34,44,54
5/17/2022 0:01,5/18/2022 0:01,5/17/2022 0:01,5/17/2022 23:59,0.067742,0.069,0.068,0.069,8,Extreme Fear,5/17/2022,43,33,38,42,45
5/18/2022 0:01,5/19/2022 0:01,5/18/2022 0:01,5/18/2022 23:59,0.068671,0.069,0.067,0.067,12,Extreme Fear,5/18/2022,37,30,38,23,0
5/19/2022 0:01,5/20/2022 0:01,5/19/2022 0:01,5/19/2022 23:59,0.066688,0.067,0.066,0.067,13,Extreme Fear,5/19/2022,40,31,38,20,0
5/20/2022 0:01,5/21/2022 0:01,5/20/2022 0:01,5/20/2022 23:59,0.06661,0.068,0.066,0.067,13,Extreme Fear,5/20/2022,40,28,33,25,37
5/21/2022 0:01,5/22/2022 0:01,5/21/2022 0:01,5/21/2022 23:59,0.067094,0.067,0.067,0.067,13,Extreme Fear,5/21/2022,34,27,32,22,0
5/22/2022 0:01,5/23/2022 0:01,5/22/2022 0:01,5/22/2022 23:59,0.067078,0.068,0.067,0.067,14,Extreme Fear,5/22/2022,31,24,28,8,0
5/23/2022 0:01,5/24/2022 0:01,5/23/2022 0:01,5/23/2022 23:59,0.067444,0.068,0.067,0.068,10,Extreme Fear,5/23/2022,27,21,31,9,0
5/24/2022 0:01,5/25/2022 0:01,5/24/2022 0:01,5/24/2022 23:59,0.06779,0.068,0.066,0.067,12,Extreme Fear,5/24/2022,33,24,32,12,0
5/25/2022 0:01,5/26/2022 0:01,5/25/2022 0:01,5/25/2022 23:59,0.066735,0.067,0.066,0.066,11,Extreme Fear,5/25/2022,33,25,32,16,0
5/26/2022 0:01,5/27/2022 0:01,5/26/2022 0:01,5/26/2022 23:59,0.06576,0.066,0.061,0.061,12,Extreme Fear,5/26/2022,29,23,31,6,0
5/27/2022 0:01,5/28/2022 0:01,5/27/2022 0:01,5/27/2022 23:59,0.061373,0.062,0.06,0.06,12,Extreme Fear,5/27/2022,29,29,32,0,36
5/28/2022 0:01,5/29/2022 0:01,5/28/2022 0:01,5/28/2022 23:59,0.060334,0.062,0.06,0.062,13,Extreme Fear,5/28/2022,29,35,28,7,42
5/29/2022 0:01,5/30/2022 0:01,5/29/2022 0:01,5/29/2022 23:59,0.061732,0.062,0.061,0.062,14,Extreme Fear,5/29/2022,26,23,24,6,0
5/30/2022 0:01,5/31/2022 0:01,5/30/2022 0:01,5/30/2022 23:59,0.061541,0.063,0.061,0.063,10,Extreme Fear,5/30/2022,21,22,31,0,0
5/31/2022 0:01,6/1/2022 0:01,5/31/2022 0:01,5/31/2022 23:59,0.062991,0.063,0.061,0.061,16,Extreme Fear,5/31/2022,27,26,39,0,0
6/1/2022 0:01,6/2/2022 0:01,6/1/2022 0:01,6/1/2022 23:59,0.061062,0.062,0.06,0.061,17,Extreme Fear,6/1/2022,29,25,30,0,37
6/2/2022 0:01,6/3/2022 0:01,6/2/2022 0:01,6/2/2022 23:59,0.060994,0.061,0.06,0.06,13,Extreme Fear,6/2/2022,28,24,29,6,42
6/3/2022 0:01,6/4/2022 0:01,6/3/2022 0:01,6/3/2022 23:59,0.060228,0.06,0.059,0.06,10,Extreme Fear,6/3/2022,27,22,28,0,0
6/4/2022 0:01,6/5/2022 0:01,6/4/2022 0:01,6/4/2022 23:59,0.059766,0.061,0.059,0.06,14,Extreme Fear,6/4/2022,26,22,27,0,0
6/5/2022 0:01,6/6/2022 0:01,6/5/2022 0:01,6/5/2022 23:59,0.060421,0.061,0.06,0.06,10,Extreme Fear,6/5/2022,21,20,27,0,0
6/6/2022 0:01,6/7/2022 0:01,6/6/2022 0:01,6/6/2022 23:59,0.060368,0.061,0.059,0.059,13,Extreme Fear,6/6/2022,20,20,33,8,0
